3783,Cottages,50-52 BALFOUR ST LAUNCESTON 7250,Permanently Registered,Launceston City Council,-41.443567799,147.142530466
3784,Conjoined House and Shop,51 BALFOUR ST LAUNCESTON 7250,Permanently Registered,Launceston City Council,-41.4441081294,147.1426288537
3785,Conjoined Houses,53 BALFOUR ST LAUNCESTON 7250,Permanently Registered,Launceston City Council,-41.4440812826,147.1424869375
3786,House,54 BALFOUR ST LAUNCESTON 7250,Permanently Registered,Launceston City Council,-41.4436850213,147.1424300463
3787,House,56 BALFOUR ST LAUNCESTON 7250,Permanently Registered,Launceston City Council,-41.443721187,147.1423205905
3789,House,63 BALFOUR ST LAUNCESTON 7250,Permanently Registered,Launceston City Council,-41.4444158463,147.1414458198
3790,Conjoined House,65 BALFOUR ST LAUNCESTON 7250,Permanently Registered,Launceston City Council,-41.4445690358,147.1413958735
3791,Conjoined House,67 BALFOUR ST LAUNCESTON 7250,Permanently Registered,Launceston City Council,-41.4445961944,147.1412851989
3793,Conjoined Houses,71-71A BALFOUR ST LAUNCESTON 7250,Permanently Registered,Launceston City Council,-41.4446866483,147.1409766578
3795,Conjoined Cottage,76 BALFOUR ST LAUNCESTON 7250,Permanently Registered,Launceston City Council,-41.4441190876,147.1410466574
3796,Cottage,77 BALFOUR ST LAUNCESTON 7250,Permanently Registered,Launceston City Council,-41.4447771018,147.1406677566
3797,Conjoined Cottage,78 BALFOUR ST LAUNCESTON 7250,Permanently Registered,Launceston City Council,-41.4441552557,147.1409340876
3798,Conjoined Cottage,80 BALFOUR ST LAUNCESTON 7250,Permanently Registered,Launceston City Council,-41.4441914265,147.1408192432
3799,House,81 BALFOUR ST LAUNCESTON 7250,Permanently Registered,Launceston City Council,-41.4448043297,147.1404997394
3800,House,83 BALFOUR ST LAUNCESTON 7250,Permanently Registered,Launceston City Council,-41.4448405316,147.1403590358
3801,House,85 BALFOUR ST LAUNCESTON 7250,Permanently Registered,Launceston City Council,-41.4448767497,147.1402049243
3802,House,91 BALFOUR ST LAUNCESTON 7250,Permanently Registered,Launceston City Council,-41.4450127667,147.139461203
3803,Terrace Houses,92 BALFOUR ST LAUNCESTON 7250,Permanently Registered,Launceston City Council,-41.4443184639,147.140055879
3804,House,95 BALFOUR ST LAUNCESTON 7250,Permanently Registered,Launceston City Council,-41.4453109063,147.1387244081
3805,Conjoined House,96 BALFOUR ST LAUNCESTON 7250,Permanently Registered,Launceston City Council,-41.444495114,147.1398214084
3807,Dunorlan Cottages (Conjoined Terraces) ,98 BALFOUR ST LAUNCESTON 7250,Permanently Registered,Launceston City Council,-41.4445801252,147.1396917993
3808,Cottage,99 BALFOUR ST LAUNCESTON 7250,Permanently Registered,Launceston City Council,-41.4455186567,147.1382450385
3809,Dunorlan Cottages (Conjoined Terraces) ,100 BALFOUR ST LAUNCESTON 7250,Permanently Registered,Launceston City Council,-41.4446253226,147.1395602131
3811,Dunorlan Cottages (Conjoined Terraces) ,102 BALFOUR ST LAUNCESTON 7250,Permanently Registered,Launceston City Council,-41.4446705053,147.1394405979
3812,House,103 BALFOUR ST LAUNCESTON 7250,Permanently Registered,Launceston City Council,-41.4456090677,147.1379654594
3814,House,109 BALFOUR ST LAUNCESTON 7250,Permanently Registered,Launceston City Council,-41.4457718262,147.1374450481
3815,Centennial Hotel,120 BATHURST ST LAUNCESTON 7250,Permanently Registered,Launceston City Council,-41.4451316207,147.1380050307
3816,House,111 BALFOUR ST LAUNCESTON 7250,Permanently Registered,Launceston City Council,-41.4458351239,147.1372398719
3818,House,119 BALFOUR ST LAUNCESTON 7250,Permanently Registered,Launceston City Council,-41.4461963638,147.1364509941
3819,Conjoined Cottages,121-127 BALFOUR ST LAUNCESTON 7250,Permanently Registered,Launceston City Council,-41.4464485619,147.136461818
3820,Trinity Uniting Church,96 MARGARET ST LAUNCESTON 7250,Permanently Registered,Launceston City Council,-41.4456113876,147.1360172428
3821,Partridge Cottage,129 BALFOUR ST LAUNCESTON 7250,Permanently Registered,Launceston City Council,-41.4461889375,147.1362408336
3822,House,130-132 BALFOUR ST LAUNCESTON 7250,Permanently Registered,Launceston City Council,-41.445845984,147.1356781036
3824,House,133 BALFOUR ST LAUNCESTON 7250,Permanently Registered,Launceston City Council,-41.4463425005,147.1358731506
3825,House,135 BALFOUR ST LAUNCESTON 7250,Permanently Registered,Launceston City Council,-41.4464391862,147.1354395041
3826,House,139 BALFOUR ST LAUNCESTON 7250,Permanently Registered,Launceston City Council,-41.4465205727,147.135168518
3827,House,140 BALFOUR ST LAUNCESTON 7250,Permanently Registered,Launceston City Council,-41.4462334154,147.1346921858
3828,House,141 BALFOUR ST LAUNCESTON 7250,Permanently Registered,Launceston City Council,-41.4466199589,147.1349101385
3829,House,142 Balfour ST LAUNCESTON 7250,Permanently Registered,Launceston City Council,-41.4462876202,147.1345558228
3830,House,10 BARRINGTON CT NEWSTEAD 7250,Permanently Registered,Launceston City Council,-41.4456691546,147.1544729295
